ensembl_gene_id	chromosome_name	start_position	end_position	strand	band	external_gene_name	description	goslim_goa_accession
ENSG00000204694	6	29425504	29457071	-1	p22.1	OR11A1	olfactory receptor, family 11, subfamily A, member 1 [Source:HGNC Symbol;Acc:HGNC:8176]	GO:0008150
ENSG00000204694	6	29425504	29457071	-1	p22.1	OR11A1	olfactory receptor, family 11, subfamily A, member 1 [Source:HGNC Symbol;Acc:HGNC:8176]	GO:0003674
ENSG00000204694	6	29425504	29457071	-1	p22.1	OR11A1	olfactory receptor, family 11, subfamily A, member 1 [Source:HGNC Symbol;Acc:HGNC:8176]	GO:0005575
ENSG00000204694	6	29425504	29457071	-1	p22.1	OR11A1	olfactory receptor, family 11, subfamily A, member 1 [Source:HGNC Symbol;Acc:HGNC:8176]	GO:0005623
ENSG00000204694	6	29425504	29457071	-1	p22.1	OR11A1	olfactory receptor, family 11, subfamily A, member 1 [Source:HGNC Symbol;Acc:HGNC:8176]	GO:0005886
ENSG00000204694	6	29425504	29457071	-1	p22.1	OR11A1	olfactory receptor, family 11, subfamily A, member 1 [Source:HGNC Symbol;Acc:HGNC:8176]	GO:0004871
ENSG00000204694	6	29425504	29457071	-1	p22.1	OR11A1	olfactory receptor, family 11, subfamily A, member 1 [Source:HGNC Symbol;Acc:HGNC:8176]	GO:0007165
ENSG00000204694	6	29425504	29457071	-1	p22.1	OR11A1	olfactory receptor, family 11, subfamily A, member 1 [Source:HGNC Symbol;Acc:HGNC:8176]	GO:0050877
ENSG00000251608	6	29417280	29418226	1	p22.1	OR12D1	olfactory receptor, family 12, subfamily D, member 1 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:8177]	
ENSG00000243729	6	29355230	29431967	-1	p22.1	OR5V1	olfactory receptor, family 5, subfamily V, member 1 [Source:HGNC Symbol;Acc:HGNC:13972]	GO:0008150
ENSG00000243729	6	29355230	29431967	-1	p22.1	OR5V1	olfactory receptor, family 5, subfamily V, member 1 [Source:HGNC Symbol;Acc:HGNC:13972]	GO:0003674
ENSG00000243729	6	29355230	29431967	-1	p22.1	OR5V1	olfactory receptor, family 5, subfamily V, member 1 [Source:HGNC Symbol;Acc:HGNC:13972]	GO:0005575
ENSG00000243729	6	29355230	29431967	-1	p22.1	OR5V1	olfactory receptor, family 5, subfamily V, member 1 [Source:HGNC Symbol;Acc:HGNC:13972]	GO:0005623
ENSG00000243729	6	29355230	29431967	-1	p22.1	OR5V1	olfactory receptor, family 5, subfamily V, member 1 [Source:HGNC Symbol;Acc:HGNC:13972]	GO:0005886
ENSG00000243729	6	29355230	29431967	-1	p22.1	OR5V1	olfactory receptor, family 5, subfamily V, member 1 [Source:HGNC Symbol;Acc:HGNC:13972]	GO:0004871
ENSG00000243729	6	29355230	29431967	-1	p22.1	OR5V1	olfactory receptor, family 5, subfamily V, member 1 [Source:HGNC Symbol;Acc:HGNC:13972]	GO:0007165
ENSG00000243729	6	29355230	29431967	-1	p22.1	OR5V1	olfactory receptor, family 5, subfamily V, member 1 [Source:HGNC Symbol;Acc:HGNC:13972]	GO:0050877
ENSG00000280236	6	29396555	29397671	1	p22.1	OR12D2	olfactory receptor, family 12, subfamily D, member 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:8178]	GO:0008150
ENSG00000280236	6	29396555	29397671	1	p22.1	OR12D2	olfactory receptor, family 12, subfamily D, member 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:8178]	GO:0003674
ENSG00000280236	6	29396555	29397671	1	p22.1	OR12D2	olfactory receptor, family 12, subfamily D, member 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:8178]	GO:0005575
ENSG00000280236	6	29396555	29397671	1	p22.1	OR12D2	olfactory receptor, family 12, subfamily D, member 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:8178]	GO:0005623
ENSG00000280236	6	29396555	29397671	1	p22.1	OR12D2	olfactory receptor, family 12, subfamily D, member 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:8178]	GO:0005886
ENSG00000280236	6	29396555	29397671	1	p22.1	OR12D2	olfactory receptor, family 12, subfamily D, member 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:8178]	GO:0004871
ENSG00000280236	6	29396555	29397671	1	p22.1	OR12D2	olfactory receptor, family 12, subfamily D, member 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:8178]	GO:0007165
ENSG00000280236	6	29396555	29397671	1	p22.1	OR12D2	olfactory receptor, family 12, subfamily D, member 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:8178]	GO:0050877
ENSG00000204387	6	31834608	31839766	1	p21.33	C6orf48	chromosome 6 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:19078]	
ENSG00000221988	6	32153441	32163680	1	p21.32	PPT2	palmitoyl-protein thioesterase 2 [Source:HGNC Symbol;Acc:HGNC:9326]	GO:0008150
ENSG00000221988	6	32153441	32163680	1	p21.32	PPT2	palmitoyl-protein thioesterase 2 [Source:HGNC Symbol;Acc:HGNC:9326]	GO:0003674
ENSG00000221988	6	32153441	32163680	1	p21.32	PPT2	palmitoyl-protein thioesterase 2 [Source:HGNC Symbol;Acc:HGNC:9326]	GO:0005575
ENSG00000221988	6	32153441	32163680	1	p21.32	PPT2	palmitoyl-protein thioesterase 2 [Source:HGNC Symbol;Acc:HGNC:9326]	GO:0005622
ENSG00000221988	6	32153441	32163680	1	p21.32	PPT2	palmitoyl-protein thioesterase 2 [Source:HGNC Symbol;Acc:HGNC:9326]	GO:0005623
ENSG00000221988	6	32153441	32163680	1	p21.32	PPT2	palmitoyl-protein thioesterase 2 [Source:HGNC Symbol;Acc:HGNC:9326]	GO:0005737
ENSG00000221988	6	32153441	32163680	1	p21.32	PPT2	palmitoyl-protein thioesterase 2 [Source:HGNC Symbol;Acc:HGNC:9326]	GO:0043226
ENSG00000221988	6	32153441	32163680	1	p21.32	PPT2	palmitoyl-protein thioesterase 2 [Source:HGNC Symbol;Acc:HGNC:9326]	GO:0005773
